Currrent,Voltage,Temperature,Speed,Status
1,100,50,100,No_Defect
1,200,50,100,No_Defect
2,300,50,100,No_Defect
3,300,60,150,No_Defect
3,400,60,150,No_Defect
4,200,45,100,No_Defect
4,350,60,125,No_Defect
5,440,60,300,No_Defect
1,100,50,100,No_Defect
1,200,50,100,No_Defect
2,300,50,100,No_Defect
3,300,60,150,No_Defect
3,400,60,150,No_Defect
4,200,45,100,No_Defect
4,350,60,125,No_Defect
5,440,60,300,No_Defect
1,100,50,100,No_Defect
1,200,50,100,No_Defect
2,300,50,100,No_Defect
3,300,60,150,No_Defect
3,400,60,150,No_Defect
4,200,45,100,No_Defect
4,350,60,125,No_Defect
5,440,60,300,No_Defect
2,500,100,100,Defect
3,500,120,100,Defect
13,100,130,100,Defect
10,300,120,200,Defect
10,450,150,50,Defect
1.5,10,120,10,Defect
5,18,100,200,Defect
2,500,100,100,Defect
3,500,120,100,Defect
13,100,130,100,Defect
10,300,120,200,Defect
10,450,150,50,Defect
1.5,10,120,10,Defect
5,18,100,200,Defect
2,500,100,100,Defect
3,500,120,100,Defect
13,100,130,100,Defect
10,300,120,200,Defect
10,450,150,50,Defect
1.5,10,120,10,Defect
5,18,100,200,Defect
